ori_label,our_label_pred,freq
alone,emotion,5
alone,other,6
alone,relation,2
alone,travel,5
america,emotion,2
america,other,5
america,relation,2
america,travel,5
angel,location,1
angel,other,3
angel,relation,3
anger,other,2
anger,travel,2
animal,emotion,5
animal,other,6
baby,emotion,1
baby,other,4
baby,travel,2
beach,emotion,1
beach,location,1
beach,relation,2
beautiful,art,1
beautiful,other,7
beautiful,relation,1
beautiful,travel,5
beauty,location,1
beauty,other,8
beauty,travel,5
believe,emotion,4
believe,relation,1
believe,travel,4
birth,art,1
birth,emotion,1
birth,other,2
birth,travel,5
brother,art,1
brother,other,2
brother,travel,2
butterfly,emotion,2
butterfly,other,3
butterfly,relation,1
car,emotion,1
car,relation,5
car,travel,1
change,emotion,1
change,relation,1
change,travel,8
chicago,other,5
chicago,relation,4
chicago,travel,5
childhood,art,1
childhood,location,1
childhood,other,4
childhood,travel,3
children,emotion,3
children,location,1
children,other,7
children,travel,2
christmas,art,1
christmas,emotion,2
christmas,other,1
christmas,relation,5
christmas,travel,3
cinderella,art,2
cinderella,relation,5
cinderella,romance,2
city,art,1
city,emotion,1
city,other,6
city,relation,2
city,romance,1
courage,other,1
courage,relation,1
crazy,other,6
crazy,relation,5
crazy,travel,2
culture,emotion,2
culture,relation,1
culture,travel,2
dance,emotion,1
dance,other,7
dance,romance,1
dance,travel,1
dark,emotion,3
dark,relation,1
dark,romance,1
dark,travel,6
daughter,emotion,1
daughter,other,5
daughter,travel,1
death,emotion,2
death,other,10
death,travel,2
depression,other,9
depression,travel,1
despair,art,1
despair,other,4
despair,relation,1
despair,romance,1
despair,travel,1
destiny,other,2
destiny,relation,3
destiny,travel,1
dream,other,6
dream,travel,4
evil,other,3
evil,relation,1
evil,travel,2
faith,other,4
faith,relation,1
family,emotion,1
family,other,2
father,emotion,1
father,other,3
father,travel,1
fear,other,4
fear,relation,4
fear,travel,1
fire,other,6
fire,relation,4
food,relation,1
food,travel,3
football,relation,1
freedom,other,4
freedom,relation,1
friend,art,1
friend,emotion,2
friend,other,7
frog,emotion,1
funeral,art,1
funeral,location,1
funeral,other,5
funny,other,6
funny,relation,2
funny,travel,3
future,art,1
future,emotion,1
future,relation,2
future,travel,3
girl,location,1
girl,other,7
girl,travel,2
god,other,2
god,relation,4
god,travel,1
graduation,emotion,1
graduation,other,11
graduation,relation,8
greed,other,8
greed,relation,1
greed,travel,1
green,emotion,2
green,relation,4
green,romance,1
green,travel,12
hair,emotion,4
hair,relation,4
hair,travel,5
happiness,other,4
happiness,relation,1
happy,location,1
happy,other,6
happy,relation,7
happy,romance,1
happy,travel,2
hate,relation,2
heaven,other,6
heaven,relation,2
heaven,romance,1
heaven,travel,4
hero,other,4
hero,travel,1
home,emotion,2
home,location,1
home,relation,5
home,romance,1
home,travel,4
hope,other,4
hope,relation,1
hope,travel,1
house,emotion,3
house,relation,2
house,romance,1
house,travel,3
hunting,art,1
hunting,emotion,2
hunting,relation,4
hunting,travel,6
husband,emotion,1
husband,other,2
husband,romance,1
husband,travel,1
identity,emotion,1
identity,relation,2
identity,travel,2
innocence,relation,4
january,other,5
january,relation,3
january,travel,8
joy,other,3
joy,relation,3
joy,travel,3
june,emotion,2
june,other,4
june,relation,1
june,romance,1
june,travel,12
justice,other,4
justice,relation,2
justice,travel,2
kiss,art,1
kiss,other,3
kiss,relation,4
kiss,romance,1
kiss,travel,2
laughter,other,5
laughter,travel,7
life,emotion,3
life,relation,3
life,travel,1
lonely,emotion,3
lonely,other,6
lonely,relation,2
lonely,travel,1
loss,emotion,3
loss,relation,4
lost,emotion,2
lost,relation,3
lost,travel,2
love,other,4
love,relation,3
love,travel,1
lust,other,6
lust,relation,3
lust,travel,1
marriage,emotion,1
marriage,other,5
marriage,relation,2
marriage,travel,1
memory,emotion,2
memory,relation,9
memory,travel,2
mirror,emotion,2
mirror,relation,1
money,emotion,1
money,location,1
money,travel,3
moon,other,5
moon,relation,1
mother,other,1
mother,travel,1
murder,emotion,4
murder,other,2
murder,romance,1
music,emotion,3
music,other,2
music,relation,1
music,travel,3
nature,emotion,2
nature,other,2
nature,relation,1
night,emotion,1
night,location,1
night,relation,1
night,travel,12
ocean,other,1
paris,emotion,1
paris,other,4
paris,travel,1
passion,art,1
passion,other,2
passion,travel,3
peace,other,3
peace,relation,3
peace,travel,1
pink,relation,4
pink,travel,7
poem,emotion,1
poem,other,11
poem,travel,3
poetry,emotion,2
poetry,other,6
poetry,relation,2
poetry,travel,3
poverty,emotion,2
poverty,relation,5
power,emotion,2
power,location,1
power,relation,3
power,travel,2
racism,other,6
rain,other,3
rainbow,other,3
rainbow,relation,1
red,emotion,1
red,relation,1
red,travel,1
remember,relation,5
remember,travel,2
respect,other,2
river,emotion,3
river,other,1
romance,location,2
romance,other,7
romance,relation,1
romance,travel,5
romantic,art,3
romantic,emotion,5
romantic,other,5
romantic,relation,3
romantic,travel,1
rose,emotion,2
rose,other,7
rose,relation,1
running,emotion,3
running,relation,1
running,travel,1
school,art,1
school,relation,5
school,travel,3
sea,other,1
sea,relation,4
sick,emotion,5
sick,relation,3
sick,travel,1
silver,emotion,1
silver,relation,1
silver,romance,1
silver,travel,7
sister,other,3
sky,emotion,1
sky,other,4
sleep,emotion,2
sleep,travel,2
snake,emotion,4
snake,other,5
snake,relation,2
soldier,emotion,2
soldier,other,5
soldier,travel,1
sometimes,emotion,3
sometimes,relation,1
sometimes,romance,1
sometimes,travel,3
son,art,1
son,other,4
son,travel,1
song,emotion,3
song,other,10
song,relation,5
song,travel,10
sorrow,other,4
sorrow,relation,4
spring,other,1
star,art,1
star,emotion,1
star,other,4
success,emotion,4
success,relation,1
success,travel,1
suicide,emotion,4
suicide,other,4
suicide,travel,1
summer,location,1
summer,other,4
summer,relation,3
sun,other,4
swimming,emotion,2
swimming,romance,1
swimming,travel,3
sympathy,other,3
sympathy,relation,2
sympathy,travel,1
teacher,other,4
thanks,other,7
thanks,relation,5
thanks,travel,2
time,emotion,4
time,relation,3
time,travel,3
today,emotion,1
today,relation,7
together,art,1
together,emotion,2
together,relation,2
together,romance,1
together,travel,4
travel,location,2
travel,other,7
trust,other,1
trust,relation,1
truth,other,5
truth,relation,2
truth,travel,2
war,emotion,1
war,relation,6
war,travel,1
warning,emotion,3
warning,relation,5
warning,travel,9
water,emotion,1
water,location,1
water,other,1
water,romance,1
weather,location,1
weather,other,1
wedding,art,1
wedding,other,2
wedding,relation,1
wedding,travel,2
winter,other,1
work,emotion,2
work,relation,2
work,romance,1
work,travel,3
world,emotion,2
world,relation,3
world,travel,2
